Date,Description,Category,Amount,Split,Tags
2/12/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/12/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/12/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/12/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/12/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/12/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/12/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/12/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/12/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/12/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/12/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/12/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/12/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/12/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/12/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/12/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/12/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/14/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/14/24,INTERNATIONAL TRANSACTION FEE,Other,-0.07,,
2/14/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/14/24,PURCHASE PAYPAL *MY.COM,Other,-2.22,,
2/14/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/14/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/14/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/14/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/14/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/14/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/14/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/14/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/15/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/15/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/15/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/15/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/15/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/15/24,PURCHASE PAYPAL *MY.COM,Other,-2.22,,
2/15/24,PURCHASE PAYPAL *MY.COM,Other,-2.22,,
2/15/24,INTERNATIONAL TRANSACTION FEE,Other,-0.07,,
2/15/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/15/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/15/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/15/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/15/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/15/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/15/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/15/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/15/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/15/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/15/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/15/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/15/24,INTERNATIONAL TRANSACTION FEE,Other,-0.07,,
2/15/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
